"family","species","latitude","longitude","month","year","temperature","precipitation"
"Ramphastidae","Ramphastos sulfuratus",9.121218,-79.69221,10,2022,25.717378616333,2767.18994140625
"Trochilidae","Amazilia tzacatl",8.664446,-82.588425,11,2018,21.6837158203125,5434.71435546875
"Trochilidae","Amazilia tzacatl",5.121053,-74.15506,3,2023,15.9083518981934,2330.09692382812
"Trochilidae","Amazilia tzacatl",10.326264,-84.83699,8,2024,19.6945686340332,3409.72094726562
"Trochilidae","Amazilia tzacatl",9.833356,-83.87787,3,2021,18.0670127868652,3383.91796875
"Ramphastidae","Ramphastos sulfuratus",9.061626,-79.64953,3,2019,25.752269744873,2543.22387695312
"Trochilidae","Amazilia tzacatl",5.824319,-73.66641,10,2023,15.2290353775024,2383.38305664062
"Ramphastidae","Ramphastos sulfuratus",15.692996,-86.90228,3,2015,21.1232070922852,2509.6181640625
"Trochilidae","Amazilia tzacatl",3.737473,-76.67558,4,2022,19.5643539428711,3188.57885742188
"Trochilidae","Amazilia tzacatl",3.589452,-76.822876,6,2021,21.6588802337646,8118.3310546875
"Trochilidae","Amazilia tzacatl",10.503534,-84.68765,5,2024,22.4273853302002,3842.72045898438
"Ramphastidae","Ramphastos sulfuratus",10.470305,-84.65077,11,2019,23.7799491882324,3681.1064453125
"Trochilidae","Amazilia tzacatl",10.010696,-84.045204,7,2017,18.0859184265137,3465.91259765625
"Trochilidae","Amazilia tzacatl",10.489347,-84.75635,8,2019,22.4273853302002,3842.72045898438
"Trochilidae","Amazilia tzacatl",9.255821,-82.145355,1,2022,NA,NA
"Trochilidae","Amazilia tzacatl",4.59545,-74.34113,5,2021,15.7468862533569,1603.70007324219
"Trochilidae","Amazilia tzacatl",9.83193,-83.5638,12,2023,20.8341503143311,4450.3896484375
"Trochilidae","Amazilia tzacatl",9.23746,-83.37861,6,2024,22.7836303710938,4658.2724609375
"Trochilidae","Amazilia tzacatl",0.00235,-78.67743,6,2023,14.5053129196167,3313.39575195312
"Trochilidae","Amazilia tzacatl",10.391434,-73.02545,4,2024,20.9777526855469,1995.470703125
"Trochilidae","Amazilia tzacatl",9.255821,-82.145355,10,2024,NA,NA
"Ramphastidae","Ramphastos sulfuratus",19.425852,-96.79469,10,2023,21.5079593658447,1582.35168457031
"Ramphastidae","Ramphastos sulfuratus",9.551023,-73.215164,6,2023,20.3188018798828,2027.15417480469
"Ramphastidae","Ramphastos sulfuratus",11.097544,-74.081525,2,2017,22.4694004058838,2481.46826171875
"Trochilidae","Amazilia tzacatl",10.057041,-84.211624,1,2023,21.504846572876,2858.06884765625
"Trochilidae","Amazilia tzacatl",7.91504,-72.54019,3,2022,27.1029319763184,1680.37255859375
"Psittacidae","Ara macao",8.689055,-83.47608,2,2013,25.4568023681641,3903.93310546875
"Ramphastidae","Ramphastos sulfuratus",16.996603,-89.70287,4,2018,25.8104801177979,1480.49768066406
"Trochilidae","Amazilia tzacatl",10.451076,-84.63903,3,2024,23.7203311920166,3640.45141601562
"Trochilidae","Amazilia tzacatl",9.013755,-79.47158,5,2023,26.084659576416,2560.55859375
"Psittacidae","Ara macao",-3.847046,-58.320477,8,2019,26.2471332550049,2249.67114257812
"Psittacidae","Ara macao",-9.998429,-68.2051,7,2018,25.2790393829346,1881.52917480469
"Trochilidae","Amazilia tzacatl",17.15891,-88.685646,2,2020,25.0457305908203,2214.52905273438
"Trochilidae","Amazilia tzacatl",8.999585,-79.52359,11,2024,26.1559429168701,2301.55200195312
"Trochilidae","Amazilia tzacatl",10.364652,-84.34518,1,2020,21.2948627471924,3891.30151367188
"Trochilidae","Amazilia tzacatl",4.801297,-75.8515,3,2020,21.0650119781494,2535.93090820312
"Ramphastidae","Ramphastos sulfuratus",9.739587,-82.8473,2,2022,25.1872825622559,3479.685546875
"Trochilidae","Amazilia tzacatl",9.917765,-84.194466,7,2020,21.7343406677246,2724.85302734375
"Trochilidae","Amazilia tzacatl",9.736431,-82.839165,2,2022,24.7548809051514,3520.83935546875
"Trochilidae","Amazilia tzacatl",7.55228,-80.01556,5,2022,26.4264316558838,1704.17102050781
"Trochilidae","Amazilia tzacatl",9.119214,-79.6979,3,2016,25.717378616333,2767.18994140625
"Trochilidae","Amazilia tzacatl",8.759169,-82.40157,9,2020,19.8566608428955,4843.10888671875
"Trochilidae","Amazilia tzacatl",6.561255,-73.120056,11,2021,20.5284404754639,2058.78930664062
